SS-1 Robot Pose 
ID   x        y      
382 -18.8000 -25.3791 
383 -18.7571 -25.3788 
384 -18.7117 -25.3786 
385 -18.6675 -25.3784 
386 -18.6241 -25.3782 
387 -18.5793 -25.3779 
388 -18.5355 -25.3777 
389 -18.4917 -25.3775 
390 -18.4480 -25.3772 
391 -18.4035 -25.3770 
392 -18.3597 -25.3768 
393 -18.3156 -25.3765 
394 -18.2727 -25.3763 
395 -18.2295 -25.3761 
396 -18.1848 -25.3759 
397 -18.1393 -25.3756 
398 -18.0956 -25.3754 
399 -18.0521 -25.3752 
400 -18.0081 -25.3749 
401 -17.9641 -25.3747 
402 -17.9200 -25.3745 
403 -17.8764 -25.3742 
404 -17.8312 -25.3740 
405 -17.7872 -25.3738 
406 -17.7441 -25.3736 
407 -17.7005 -25.3733 
408 -17.6561 -25.3731 
409 -17.6126 -25.3729 
410 -17.5675 -25.3726 
411 -17.5243 -25.3724 
412 -17.4808 -25.3722 
413 -17.4357 -25.3719 
414 -17.3913 -25.3717 
415 -17.3473 -25.3715 
416 -17.3030 -25.3712 
417 -17.2590 -25.3710 
418 -17.2149 -25.3708 
419 -17.1708 -25.3706 
420 -17.1268 -25.3703 
421 -17.0844 -25.3701 
422 -17.0406 -25.3699 
423 -16.9964 -25.3696 
424 -16.9524 -25.3694 
425 -16.9070 -25.3692 
426 -16.8626 -25.3689 
427 -16.8199 -25.3687 
428 -16.7756 -25.3685 
429 -16.7306 -25.3682 
430 -16.6876 -25.3680 
431 -16.6434 -25.3678 
432 -16.5985 -25.3676 
433 -16.5547 -25.3673 
434 -16.5106 -25.3671 
435 -16.4680 -25.3669 
436 -16.4235 -25.3666 
437 -16.3786 -25.3664 
438 -16.3346 -25.3662 
439 -16.2913 -25.3660 
440 -16.2470 -25.3657 
441 -16.2027 -25.3655 
442 -16.1595 -25.3653 
443 -16.1159 -25.3650 
444 -16.0710 -25.3648 
445 -16.0265 -25.3646 
446 -15.9826 -25.3643 
447 -15.9390 -25.3641 
448 -15.8948 -25.3639 
449 -15.8507 -25.3637 
450 -15.8067 -25.3634 
451 -15.7634 -25.3632 
452 -15.7192 -25.3630 
453 -15.6748 -25.3627 
454 -15.6309 -25.3625 
455 -15.5876 -25.3623 
456 -15.5432 -25.3620 
457 -15.4995 -25.3618 
458 -15.4553 -25.3616 
459 -15.4112 -25.3614 
460 -15.3673 -25.3611 
461 -15.3233 -25.3609 
462 -15.2795 -25.3607 
463 -15.2359 -25.3604 
464 -15.1917 -25.3602 
465 -15.1486 -25.3600 
466 -15.1044 -25.3597 
467 -15.0600 -25.3595 
468 -15.0161 -25.3593 
469 -14.9722 -25.3591 
470 -14.9283 -25.3588 
471 -14.8854 -25.3586 
472 -14.8408 -25.3584 
473 -14.7967 -25.3581 
474 -14.7534 -25.3579 
475 -14.7092 -25.3577 
476 -14.6653 -25.3575 
477 -14.6214 -25.3572 
478 -14.5777 -25.3570 
479 -14.5345 -25.3568 
480 -14.4903 -25.3565 
481 -14.4462 -25.3563 
482 -14.4024 -25.3561 
483 -14.3592 -25.3559 
484 -14.3162 -25.3556 
485 -14.2717 -25.3554 
486 -14.2274 -25.3552 
487 -14.1844 -25.3549 
488 -14.1400 -25.3547 
489 -14.0968 -25.3545 
490 -14.0525 -25.3542 
491 -14.0087 -25.3540 
492 -13.9651 -25.3538 
493 -13.9214 -25.3535 
494 -13.8778 -25.3533 
495 -13.8340 -25.3531 
496 -13.7904 -25.3529 
497 -13.7469 -25.3526 
498 -13.7031 -25.3524 
499 -13.6596 -25.3522 
500 -13.6158 -25.3519 
501 -13.5722 -25.3517 
502 -13.5287 -25.3515 
503 -13.4850 -25.3513 
504 -13.4414 -25.3510 
505 -13.3977 -25.3508 
506 -13.3542 -25.3506 
507 -13.3104 -25.3503 
508 -13.2669 -25.3501 
509 -13.2234 -25.3499 
510 -13.1796 -25.3497 
511 -13.1358 -25.3494 
512 -13.0920 -25.3492 
513 -13.0483 -25.3490 
514 -13.0046 -25.3487 
515 -12.9609 -25.3485 
516 -12.9175 -25.3483 
517 -12.8742 -25.3480 
518 -12.8300 -25.3478 
519 -12.7859 -25.3476 
520 -12.7423 -25.3473 
521 -12.6985 -25.3471 
522 -12.6553 -25.3469 
523 -12.6109 -25.3467 
524 -12.5671 -25.3464 
525 -12.5233 -25.3462 
526 -12.4795 -25.3460 
527 -12.4358 -25.3457 
528 -12.3919 -25.3455 
529 -12.3482 -25.3453 
530 -12.3050 -25.3450 
531 -12.2618 -25.3448 
532 -12.2171 -25.3446 
533 -12.1742 -25.3443 
534 -12.1293 -25.3441 
535 -12.0867 -25.3439 
536 -12.0431 -25.3437 
537 -11.9975 -25.3434 
538 -11.9538 -25.3432 
539 -11.9106 -25.3429 
540 -11.8659 -25.3427 
541 -11.8220 -25.3425 
542 -11.7784 -25.3422 
543 -11.7352 -25.3420 
544 -11.6905 -25.3418 
545 -11.6465 -25.3416 
546 -11.6029 -25.3413 
547 -11.5597 -25.3411 
548 -11.5152 -25.3408 
549 -11.4709 -25.3406 
550 -11.4270 -25.3404 
551 -11.3831 -25.3401 
552 -11.3392 -25.3399 
553 -11.2954 -25.3397 
554 -11.2515 -25.3394 
555 -11.2078 -25.3392 
556 -11.1646 -25.3390 
557 -11.1209 -25.3387 
558 -11.0759 -25.3385 
559 -11.0321 -25.3383 
560 -10.9884 -25.3380 
561 -10.9442 -25.3378 
562 -10.9002 -25.3376 
563 -10.8564 -25.3373 
564 -10.8126 -25.3371 
565 -10.7685 -25.3368 
566 -10.7246 -25.3366 
567 -10.6811 -25.3364 
568 -10.6374 -25.3361 
569 -10.5931 -25.3359 
570 -10.5494 -25.3357 
571 -10.5052 -25.3354 
572 -10.4619 -25.3352 
573 -10.4180 -25.3350 
574 -10.3740 -25.3347 
575 -10.3302 -25.3345 
576 -10.2857 -25.3343 
577 -10.2418 -25.3340 
578 -10.1980 -25.3338 
579 -10.1550 -25.3335 
580 -10.1120 -25.3333 
581 -10.0673 -25.3331 
582 -10.0231 -25.3328 
583  -9.9791 -25.3326 
584  -9.9344 -25.3323 
585  -9.8917 -25.3321 
586  -9.8481 -25.3319 
587  -9.8029 -25.3316 
588  -9.7588 -25.3314 
589  -9.7149 -25.3311 
590  -9.6730 -25.3309 
591  -9.6291 -25.3307 
592  -9.5835 -25.3304 
593  -9.5404 -25.3302 
594  -9.4962 -25.3299 
595  -9.4529 -25.3297 
596  -9.4088 -25.3294 
597  -9.3640 -25.3292 
598  -9.3201 -25.3289 
599  -9.2774 -25.3287 
600  -9.2334 -25.3285 
601  -9.1887 -25.3282 
602  -9.1447 -25.3279 
603  -9.1009 -25.3277 
604  -9.0570 -25.3274 
605  -9.0132 -25.3272 
606  -8.9704 -25.3269 
607  -8.9282 -25.3267 
608  -8.8830 -25.3264 
609  -8.8380 -25.3261 
610  -8.7950 -25.3257 
611  -8.7508 -25.3240 
612  -8.7067 -25.3216 
613  -8.6633 -25.3192 
614  -8.6206 -25.3168 
615  -8.5760 -25.3143 
616  -8.5317 -25.3116 
617  -8.4880 -25.3089 
618  -8.4444 -25.3061 
619  -8.4006 -25.3032 
620  -8.3569 -25.3002 
621  -8.3132 -25.2971 
622  -8.2695 -25.2940 
623  -8.2269 -25.2909 
624  -8.1826 -25.2876 
625  -8.1386 -25.2843 
626  -8.0951 -25.2808 
627  -8.0522 -25.2773 
628  -8.0080 -25.2737 
629  -7.9648 -25.2701 
630  -7.9229 -25.2665 
631  -7.8784 -25.2627 
632  -7.8336 -25.2587 
633  -7.7902 -25.2548 
634  -7.7464 -25.2508 
635  -7.7031 -25.2467 
636  -7.6603 -25.2426 
637  -7.6161 -25.2383 
638  -7.5729 -25.2341 
639  -7.5292 -25.2297 
640  -7.4860 -25.2254 
641  -7.4423 -25.2208 
642  -7.3991 -25.2162 
643  -7.3556 -25.2115 
644  -7.3125 -25.2068 
645  -7.2690 -25.2020 
646  -7.2257 -25.1972 
647  -7.1829 -25.1922 
648  -7.1393 -25.1871 
649  -7.0961 -25.1820 
650  -7.0529 -25.1768 
651  -7.0101 -25.1715 
652  -6.9667 -25.1660 
653  -6.9239 -25.1606 
654  -6.8806 -25.1550 
655  -6.8378 -25.1494 
656  -6.7945 -25.1435 
